,0,1,2
979,Tactic skill,(no tactic),(no tactic)
980,Style of play,Neutral,Neutral
981,Average ratings,Average ratings,Average ratings
982,Total player experience,325,625
983,Average midfield,425,575
984,Average defence,425,1100
985,Average attack,400,575
986,Total average,425,750
987,Midfield,200,875
988,Right defence,275,1350
989,Central defence,275,1000
990,Left defence,200,950
991,Right attack,225,425
992,Central attack,225,425
993,Left attack,225,350
994,Indirect set pieces,Indirect set pieces,Indirect set pieces
995,Defence,275,750
996,Attack,325,525
997,Match plan,Match plan,Match plan
998,Team attitude,(Hidden),(Hidden)
999,Tactic,Normal,Attack on wings
1000,Tactic skill,(no tactic),13
1001,Style of play,100% Offensive,100% Offensive
1002,Average ratings,Average ratings,Average ratings
1003,Total player experience,250,1000
1004,Average midfield,200,875
1005,Average defence,250,1100
1006,Average attack,225,400
1007,Total average,225,800
1008,Midfield,200,325
1009,Right defence,175,525
1010,Central defence,225,675
1011,Left defence,275,575
1012,Right attack,225,225
1013,Central attack,200,325
1014,Left attack,250,325
1015,Indirect set pieces,Indirect set pieces,Indirect set pieces
1016,Defence,275,475
1017,Attack,275,400
1018,Match plan,Match plan,Match plan
1019,Team attitude,(Hidden),(Hidden)
1020,Tactic,Normal,Normal
1021,Tactic skill,(no tactic),(no tactic)
1022,Style of play,100% Offensive,Neutral
1023,Average ratings,Average ratings,Average ratings
1024,Total player experience,275,525
1025,Average midfield,200,325
1026,Average defence,225,600
1027,Average attack,225,275
1028,Total average,225,400
1029,Midfield,225,800
1030,Right defence,250,1325
1031,Central defence,325,1525
1032,Left defence,275,1450
1033,Right attack,225,675
1034,Central attack,200,725
1035,Left attack,200,750
1036,Indirect set pieces,Indirect set pieces,Indirect set pieces
1037,Defence,300,700
1038,Attack,325,675
1039,Match plan,Match plan,Match plan
1040,Team attitude,(Hidden),(Hidden)
1041,Tactic,Normal,Normal
1042,Tactic skill,(no tactic),(no tactic)
1043,Style of play,100% Defensive,Neutral
1044,Average ratings,Average ratings,Average ratings
1045,Total player experience,250,650
1046,Average midfield,225,800
1047,Average defence,300,1450
1048,Average attack,200,725
1049,Total average,250,1000
1050,Midfield,200,650
1051,Right defence,250,975
1052,Central defence,300,1450
1053,Left defence,250,975
1054,Right attack,225,900
1055,Central attack,225,1125
1056,Left attack,225,1100
1057,Indirect set pieces,Indirect set pieces,Indirect set pieces
1058,Defence,300,1275
1059,Attack,300,925
1060,Match plan,Match plan,Match plan
1061,Team attitude,(Hidden),(Hidden)
1062,Tactic,Normal,Normal
1063,Tactic skill,(no tactic),(no tactic)
1064,Style of play,100% Offensive,100% Offensive
1065,Average ratings,Average ratings,Average ratings
1066,Total player experience,250,925
1067,Average midfield,200,650
1068,Average defence,275,1125
1069,Average attack,225,1050
1070,Total average,225,950
1071,Midfield,175,575
1072,Right defence,300,1650
1073,Central defence,275,1675
1074,Left defence,200,1600
1075,Right attack,200,825
1076,Central attack,200,550
1077,Left attack,175,575
1078,Indirect set pieces,Indirect set pieces,Indirect set pieces
1079,Defence,275,1050
1080,Attack,300,825
1081,Match plan,Match plan,Match plan
1082,Team attitude,(Hidden),(Hidden)
1083,Tactic,Normal,Normal
1084,Tactic skill,(no tactic),(no tactic)
1085,Style of play,100% Defensive,Neutral
1086,Average ratings,Average ratings,Average ratings
1087,Total player experience,225,900
1088,Average midfield,175,575
1089,Average defence,250,1650
1090,Average attack,200,650
1091,Total average,200,950
1092,Midfield,175,600
1093,Right defence,200,1175
1094,Central defence,250,1350
1095,Left defence,200,1300
1096,Right attack,200,450
1097,Central attack,200,475
1098,Left attack,200,525
1099,Indirect set pieces,Indirect set pieces,Indirect set pieces
1100,Defence,275,700
1101,Attack,275,650
1102,Match plan,Match plan,Match plan
1103,Team attitude,(Hidden),(Hidden)
1104,Tactic,Normal,Attack on wings
1105,Tactic skill,(no tactic),23
1106,Style of play,100% Defensive,100% Offensive
1107,Average ratings,Average ratings,Average ratings
1108,Total player experience,225,550
1109,Average midfield,175,600
1110,Average defence,225,1275
1111,Average attack,200,475
1112,Total average,200,775
1113,Midfield,175,600
1114,Right defence,250,1125
1115,Central defence,275,1800
1116,Left defence,225,1075
1117,Right attack,250,450
1118,Central attack,225,625
1119,Left attack,225,550
1120,Indirect set pieces,Indirect set pieces,Indirect set pieces
1121,Defence,325,900
1122,Attack,325,725
1123,Match plan,Match plan,Match plan
1124,Team attitude,(Hidden),(Hidden)
1125,Tactic,Normal,Normal
1126,Tactic skill,(no tactic),(no tactic)
1127,Style of play,100% Offensive,100% Defensive
1128,Average ratings,Average ratings,Average ratings
1129,Total player experience,275,850
1130,Average midfield,175,600
1131,Average defence,250,1350
1132,Average attack,225,550
1133,Total average,225,825
1134,Midfield,175,825
1135,Right defence,125,1675
1136,Central defence,175,1900
1137,Left defence,175,1700
1138,Right attack,200,775
1139,Central attack,175,625
1140,Left attack,250,800
1141,Indirect set pieces,Indirect set pieces,Indirect set pieces
1142,Defence,225,1025
1143,Attack,250,625
1144,Match plan,Match plan,Match plan
1145,Team attitude,(Hidden),(Hidden)
1146,Tactic,Normal,Pressing
1147,Tactic skill,(no tactic),11
1148,Style of play,100% Offensive,Neutral
1149,Average ratings,Average ratings,Average ratings
1150,Total player experience,275,875
1151,Average midfield,175,825
1152,Average defence,150,1750
1153,Average attack,200,725
1154,Total average,175,1100
1155,Midfield,450,650
1156,Right defence,350,1175
1157,Central defence,475,1300
1158,Left defence,450,1175
1159,Right attack,400,700
1160,Central attack,325,650
1161,Left attack,375,625
1162,Indirect set pieces,Indirect set pieces,Indirect set pieces
1163,Defence,500,675
1164,Attack,500,475
1165,Match plan,Match plan,Match plan
1166,Team attitude,(Hidden),(Hidden)
1167,Tactic,Normal,Normal
1168,Tactic skill,(no tactic),(no tactic)
1169,Style of play,Neutral,Neutral
1170,Average ratings,Average ratings,Average ratings
1171,Total player experience,350,600
1172,Average midfield,450,650
1173,Average defence,425,1225
1174,Average attack,375,650
1175,Total average,425,850
1176,Midfield,225,600
1177,Right defence,200,1125
1178,Central defence,250,1075
1179,Left defence,175,850
1180,Right attack,225,600
1181,Central attack,275,1000
1182,Left attack,225,525
1183,Indirect set pieces,Indirect set pieces,Indirect set pieces
1184,Defence,250,750
1185,Attack,300,625
1186,Match plan,Match plan,Match plan
1187,Team attitude,(Hidden),(Hidden)
1188,Tactic,Normal,Normal
1189,Tactic skill,(no tactic),(no tactic)
1190,Style of play,100% Defensive,Neutral
1191,Average ratings,Average ratings,Average ratings
1192,Total player experience,250,525
1193,Average midfield,225,600
1194,Average defence,200,1025
1195,Average attack,225,700
1196,Total average,225,775
1197,Midfield,200,675
1198,Right defence,200,950
1199,Central defence,250,1650
1200,Left defence,225,1000
1201,Right attack,200,350
1202,Central attack,175,800
1203,Left attack,200,475
1204,Indirect set pieces,Indirect set pieces,Indirect set pieces
1205,Defence,225,700
1206,Attack,250,625
1207,Match plan,Match plan,Match plan
1208,Team attitude,(Hidden),(Hidden)
1209,Tactic,Normal,Normal
1210,Tactic skill,(no tactic),(no tactic)
1211,Style of play,100% Defensive,Neutral
1212,Average ratings,Average ratings,Average ratings
1213,Total player experience,225,575
1214,Average midfield,200,675
1215,Average defence,225,1200
1216,Average attack,175,550
1217,Total average,200,800
1218,Midfield,175,675
1219,Right defence,175,1375
1220,Central defence,200,1375
1221,Left defence,200,1150
1222,Right attack,225,750
1223,Central attack,200,800
1224,Left attack,175,675
1225,Indirect set pieces,Indirect set pieces,Indirect set pieces
1226,Defence,275,625
1227,Attack,300,625
1228,Match plan,Match plan,Match plan
1229,Team attitude,(Hidden),(Hidden)
1230,Tactic,Normal,Normal
1231,Tactic skill,(no tactic),(no tactic)
1232,Style of play,100% Offensive,Neutral
1233,Average ratings,Average ratings,Average ratings
1234,Total player experience,275,550
1235,Average midfield,175,675
1236,Average defence,200,1300
1237,Average attack,200,750
1238,Total average,200,900
1239,Midfield,175,425
1240,Right defence,250,1700
1241,Central defence,225,2175
1242,Left defence,150,2025
1243,Right attack,225,650
1244,Central attack,200,625
1245,Left attack,175,575
1246,Indirect set pieces,Indirect set pieces,Indirect set pieces
1247,Defence,275,1000
1248,Attack,250,650
1249,Match plan,Match plan,Match plan
1250,Team attitude,(Hidden),(Hidden)
1251,Tactic,Normal,Counter-attacks
1252,Tactic skill,(no tactic),18
1253,Style of play,100% Offensive,Neutral
1254,Average ratings,Average ratings,Average ratings
1255,Total player experience,275,825
1256,Average midfield,175,425
1257,Average defence,200,1975
1258,Average attack,200,625
1259,Total average,200,1000
1260,Midfield,200,775
1261,Right defence,225,1225
1262,Central defence,275,1300
1263,Left defence,250,1400
1264,Right attack,200,650
1265,Central attack,225,625
1266,Left attack,200,725
1267,Indirect set pieces,Indirect set pieces,Indirect set pieces
1268,Defence,275,750
1269,Attack,300,650
1270,Match plan,Match plan,Match plan
1271,Team attitude,(Hidden),(Hidden)
1272,Tactic,Normal,Normal
1273,Tactic skill,(no tactic),(no tactic)
1274,Style of play,100% Defensive,Neutral
1275,Average ratings,Average ratings,Average ratings
1276,Total player experience,225,975
1277,Average midfield,200,775
1278,Average defence,250,1325
1279,Average attack,200,675
1280,Total average,225,925
1281,Midfield,200,675
1282,Right defence,200,1375
1283,Central defence,300,1350
1284,Left defence,300,1550
1285,Right attack,150,425
1286,Central attack,175,775
1287,Left attack,150,525
1288,Indirect set pieces,Indirect set pieces,Indirect set pieces
1289,Defence,275,950
1290,Attack,300,875
1291,Match plan,Match plan,Match plan
1292,Team attitude,(Hidden),(Hidden)
1293,Tactic,Normal,Normal
1294,Tactic skill,(no tactic),(no tactic)
1295,Style of play,100% Defensive,100% Offensive
1296,Average ratings,Average ratings,Average ratings
1297,Total player experience,250,800
1298,Average midfield,200,675
1299,Average defence,275,1425
1300,Average attack,175,575
1301,Total average,225,900
1302,Midfield,200,550
1303,Right defence,200,1325
1304,Central defence,200,1225
1305,Left defence,200,1375
1306,Right attack,275,625
1307,Central attack,225,650
1308,Left attack,200,525
1309,Indirect set pieces,Indirect set pieces,Indirect set pieces
1310,Defence,225,825
1311,Attack,275,625
1312,Match plan,Match plan,Match plan
1313,Team attitude,(Hidden),(Hidden)
1314,Tactic,Normal,Normal
1315,Tactic skill,(no tactic),(no tactic)
1316,Style of play,100% Offensive,Neutral
1317,Average ratings,Average ratings,Average ratings
1318,Total player experience,250,875
1319,Average midfield,200,550
1320,Average defence,200,1300
1321,Average attack,225,600
1322,Total average,200,825
1323,Midfield,200,400
1324,Right defence,275,600
1325,Central defence,375,675
1326,Left defence,325,725
1327,Right attack,200,500
1328,Central attack,200,625
1329,Left attack,200,425
1330,Indirect set pieces,Indirect set pieces,Indirect set pieces
1331,Defence,325,600
1332,Attack,300,550
1333,Match plan,Match plan,Match plan
1334,Team attitude,(Hidden),(Hidden)
1335,Tactic,Normal,Normal
1336,Tactic skill,(no tactic),(no tactic)
1337,Style of play,100% Defensive,100% Offensive
1338,Average ratings,Average ratings,Average ratings
1339,Total player experience,325,750
1340,Average midfield,200,400
1341,Average defence,325,675
1342,Average attack,200,525
1343,Total average,250,525
1344,Midfield,225,425
1345,Right defence,200,575
1346,Central defence,200,750
1347,Left defence,200,450
1348,Right attack,225,525
1349,Central attack,250,900
1350,Left attack,225,675
1351,Indirect set pieces,Indirect set pieces,Indirect set pieces
1352,Defence,225,475
1353,Attack,275,650
1354,Match plan,Match plan,Match plan
1355,Team attitude,(Hidden),(Hidden)
1356,Tactic,Normal,Normal
1357,Tactic skill,(no tactic),(no tactic)
1358,Style of play,100% Defensive,Neutral
1359,Average ratings,Average ratings,Average ratings
1360,Total player experience,275,600
1361,Average midfield,225,425
1362,Average defence,200,575
1363,Average attack,225,700
1364,Total average,225,575
1365,Midfield,175,625
1366,Right defence,175,725
1367,Central defence,225,575
1368,Left defence,225,725
1369,Right attack,175,325
1370,Central attack,175,500
1371,Left attack,225,350
1372,Indirect set pieces,Indirect set pieces,Indirect set pieces
1373,Defence,275,800
1374,Attack,275,750
1375,Match plan,Match plan,Match plan
1376,Team attitude,(Hidden),(Hidden)
1377,Tactic,Normal,Play creatively
1378,Tactic skill,(no tactic),14
1379,Style of play,100% Defensive,100% Offensive
1380,Average ratings,Average ratings,Average ratings
1381,Total player experience,225,600
1382,Average midfield,175,625
1383,Average defence,200,675
1384,Average attack,200,400
1385,Total average,200,575
1386,Midfield,200,575
1387,Right defence,225,525
1388,Central defence,250,725
1389,Left defence,275,650
1390,Right attack,200,300
1391,Central attack,200,400
1392,Left attack,225,325
1393,Indirect set pieces,Indirect set pieces,Indirect set pieces
1394,Defence,250,475
1395,Attack,300,450
1396,Match plan,Match plan,Match plan
1397,Team attitude,(Hidden),(Hidden)
1398,Tactic,Normal,Normal
1399,Tactic skill,(no tactic),(no tactic)
1400,Style of play,100% Defensive,Neutral
1401,Average ratings,Average ratings,Average ratings
1402,Total player experience,250,450
1403,Average midfield,200,575
1404,Average defence,250,625
1405,Average attack,200,350
1406,Total average,225,525
1407,Midfield,175,575
1408,Right defence,150,1050
1409,Central defence,225,1800
1410,Left defence,200,1075
1411,Right attack,225,675
1412,Central attack,200,875
1413,Left attack,225,550
1414,Indirect set pieces,Indirect set pieces,Indirect set pieces
1415,Defence,225,900
